date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:25:38	675/675	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Oct%202019%2001:19:53%20GMT	https://www.receitasdamaria.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.9.0	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.minad76.css	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:39	96873/96873	---M--	200	added ('OK')	application/javascript	date:Sat,%2018%20May%202019%2001:38:54%20GMT	https://www.receitasdamaria.com.br/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-includes/js/jquery/jquery4a5f.js	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:39	10056/10056	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2014:41:28%20GMT	https://www.receitasdamaria.com.br/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:39	107374/107374	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2017%20Oct%202019%2004:25:37%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/geladinhugou/connect.facebook.net/en_US/fbevents.js	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:39	2327/2327	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Sep%202019%2015:42:09%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/2019/09/cropped-sem_ttulo-3-1-32x32.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/2019/09/cropped-sem_ttulo-3-1-32x32.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:39	46946/46946	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Sep%202019%2015:42:09%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/2019/09/cropped-sem_ttulo-3-1-192x192.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/2019/09/cropped-sem_ttulo-3-1-192x192.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:40	44134/44134	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Sep%202019%2015:42:09%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/2019/09/cropped-sem_ttulo-3-1-180x180.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/2019/09/cropped-sem_ttulo-3-1-180x180.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:40	5611/5611	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202019%2019:46:36%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/premio-od1j2xhub0qfz3qkfcgkhfto1toa900f5fll1tzr3c.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/premio-od1j2xhub0qfz3qkfcgkhfto1toa900f5fll1tzr3c.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:41	243916/243916	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202019%2023:19:45%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/mul-od1szb14c5qu8spw3jk4sbpk7bzo8snnci8kx5i64o.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/elementor/thumbs/mul-od1szb14c5qu8spw3jk4sbpk7bzo8snnci8kx5i64o.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
04:25:41	815320/815320	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202019%2017:41:30%20GMT	https://www.receitasdamaria.com.br/wp-content/uploads/2019/08/kk-834x1024.png	C:/Meus%20Sites/geladinhugou/www.receitasdamaria.com.br/wp-content/uploads/2019/08/kk-834x1024.png	(from https://www.receitasdamaria.com.br/geladinhogourmet/)
